index,search_song_x,search_artist_x,search_term,matched_song,matched_artist,collection,preview_url,apple_release_date,apple_track_time_ms,apple_duration_sec,apple_genre,apple_collection,apple_track_id_x,apple_artist_id,match_score,title_score,artist_score,version_penalty,match_status,failure_reason,artist_overlap,usable_match,usable_match_v2,recovery_reason,search_song_y,search_artist_y,apple_track_id_y,preview_file,download_status
2410,Over My Head (Cable Car),The Fray,over my head the fray,Over My Head (Cable Car),The Fray,How to Save a Life,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/c0/56/ed/c056ed49-e8b4-7588-bd22-9e51a2e461f6/mzaf_1584178635666733969.plus.aac.p.m4a,2005-09-13T07:00:00Z,236267.0,236.267,Rock,How to Save a Life,385629699.0,31239777.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Over My Head (Cable Car),The Fray,385629699.0,preview_clips/the_fray__over_my_head_cable_car__385629699.0.m4a,downloaded
2411,Over Now,Calvin Harris X The Weeknd,over now calvin harris x the weeknd,Over Now,"Calvin Harris, The Weeknd",Over Now - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ef/e6/eb/efe6eb4e-8221-4b77-b8b7-8c9b865a41b6/mzaf_10297349769273745487.plus.aac.p.m4a,2020-08-28T07:00:00Z,210795.0,210.795,R&B/Soul,Over Now - Single,1530420240.0,201955086.0,0.988,1.0,0.96,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Over Now,Calvin Harris X The Weeknd,1530420240.0,preview_clips/calvin_harris_x_the_weeknd__over_now__1530420240.0.m4a,downloaded
2412,Over Now,Post Malone,over now post malone,Over Now,Post Malone,beerbongs & bentleys,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/0f/7c/93/0f7c93b9-1351-596b-3164-e64e4a41a05b/mzaf_13767665908546768785.plus.aac.p.m4a,2018-04-27T12:00:00Z,246987.0,246.987,Hip-Hop/Rap,beerbongs & bentleys,1373506172.0,966309175.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Over Now,Post Malone,1373506172.0,preview_clips/post_malone__over_now__1373506172.0.m4a,downloaded
2413,Over You,Cassadee Pope,over you cassadee pope,Over You (The Voice Performance),Cassadee Pope,The Complete Season 3 Collection (The Voice Performance),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/fa/fd/49/fafd49ef-e207-ef32-2a17-ac7404f2886b/mzaf_14504059029016399391.plus.aac.p.m4a,2012-01-01T12:00:00Z,216507.0,216.507,Pop,The Complete Season 3 Collection (The Voice Performance),1443455810.0,292026236.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Over You,Cassadee Pope,1443455810.0,preview_clips/cassadee_pope__over_you__1443455810.0.m4a,downloaded
2414,Over You,Daughtry,over you daughtry,Over You,Daughtry,Daughtry,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a4/4d/75/a44d756a-c726-ac71-a81b-49c44fd2efb3/mzaf_11259068051904118566.plus.aac.p.m4a,2006-11-21T08:00:00Z,204853.0,204.853,Rock,Daughtry,214412869.0,748174.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Over You,Daughtry,214412869.0,preview_clips/daughtry__over_you__214412869.0.m4a,downloaded
2415,Over You,Miranda Lambert,over you miranda lambert,Over You,Miranda Lambert,Four the Record,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/af/8f/bf/af8fbfc1-1d43-5e98-2072-fdd32a6c8279/mzaf_258772902017515092.plus.aac.p.m4a,2011-11-01T07:00:00Z,256000.0,256.0,Country,Four the Record,466581435.0,18732261.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Over You,Miranda Lambert,466581435.0,preview_clips/miranda_lambert__over_you__466581435.0.m4a,downloaded
2416,Oye Mi Canto,"""N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato""",oye mi canto n o r e,Oye Mi Canto,N.O.R.E.,"Reggaeton! (20 Latin Hits, The Very Best of Reggaeton, Dembow, Urban)",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c9/4c/98/c94c986d-fdd1-c7b0-f482-144a8c82db1a/mzaf_1117898296465389054.plus.aac.p.m4a,2004-11-02T08:00:00Z,235120.0,235.12,Urbano latino,"Reggaeton! (20 Latin Hits, The Very Best of Reggaeton, Dembow, Urban)",83090867.0,139892.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Oye Mi Canto,"""N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato""",83090867.0,preview_clips/n_o_r_e_featuring_daddy_yankee_nina_sky_gem_star_big_mato__oye_mi_canto__83090867.0.m4a,downloaded
2417,P*$$y Fairy (OTW),Jhene Aiko,p y fairy jhene aiko,P*$$Y Fairy (OTW),Jhené Aiko,P*$$Y Fairy (OTW) - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/03/96/81/039681b7-b1f1-6de4-869c-81bc2ed58ddc/mzaf_11582305550286248610.plus.aac.p.m4a,2020-01-17T12:00:00Z,181860.0,181.86,R&B/Soul,P*$$Y Fairy (OTW) - Single,1494546206.0,198431322.0,0.9842105263157896,1.0,0.9473684210526316,0.0,AUTO_ACCEPT,SUCCESS,0.5,True,True,,P*$$y Fairy (OTW),Jhene Aiko,1494546206.0,preview_clips/jhene_aiko__p_y_fairy_otw__1494546206.0.m4a,downloaded
2418,POWER,Kanye West,power kanye west,Power,Kanye West,My Beautiful Dark Twisted Fantasy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/75/a0/6b/75a06b55-7898-7f38-3af5-47575303edcf/mzaf_9134049976334830572.plus.aac.p.m4a,2010-05-28T12:00:00Z,292093.0,292.093,Hip-Hop/Rap,My Beautiful Dark Twisted Fantasy,1443160563.0,2715720.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,POWER,Kanye West,1443160563.0,preview_clips/kanye_west__power__1443160563.0.m4a,downloaded
2419,PTSD,"""G Herbo Featuring Chance the Rapper, Juice WRLD & Lil Uzi Vert""",ptsd g herbo,"PTSD (feat. Juice WRLD, Lil Uzi Vert & Chance the Rapper)",G Herbo,PTSD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ab/9f/18/ab9f1808-fd25-7ad6-0e7d-85815ae65c39/mzaf_12472178280285950175.plus.aac.p.m4a,2020-02-28T12:00:00Z,232065.0,232.065,Rap,PTSD,1563859572.0,1036753321.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,PTSD,"""G Herbo Featuring Chance the Rapper, Juice WRLD & Lil Uzi Vert""",1563859572.0,preview_clips/g_herbo_featuring_chance_the_rapper_juice_wrld_lil_uzi_vert__ptsd__1563859572.0.m4a,downloaded
2420,Paid Time Off,Noah Kahan,paid time off noah kahan,Paid Time Off,Noah Kahan,The Great Divide: The Last Of The Bugs,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/3a/6e/2e/3a6e2e8e-8522-6ea3-a852-0ea132feff8c/mzaf_18098073685598185565.plus.aac.p.m4a,2026-04-24T07:00:00Z,227160.0,227.16,Alternative,The Great Divide: The Last Of The Bugs,6762758805.0,328583953.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Paid Time Off,Noah Kahan,6762758805.0,preview_clips/noah_kahan__paid_time_off__6762758805.0.m4a,downloaded
2421,Paint The Town Red,Doja Cat,paint the town red doja cat,Paint The Town Red,Doja Cat,Paint The Town Red - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/2b/09/d0/2b09d002-eb39-20e8-6516-241c940aac8d/mzaf_2681231828238645518.plus.aac.p.m4a,2023-08-04T07:00:00Z,231750.0,231.75,Rap,Paint The Town Red - Single,1699832214.0,830588310.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Paint The Town Red,Doja Cat,1699832214.0,preview_clips/doja_cat__paint_the_town_red__1699832214.0.m4a,downloaded
2422,Panda,Desiigner,panda desiigner,Panda,Desiigner,Panda - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/7d/14/2d/7d142d68-e646-c717-0928-5ec5a6025a90/mzaf_16800678797909114697.plus.aac.p.m4a,2016-02-26T12:00:00Z,226520.0,226.52,Hip-Hop/Rap,Panda - Single,1445306492.0,1068985672.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Panda,Desiigner,1445306492.0,preview_clips/desiigner__panda__1445306492.0.m4a,downloaded
2423,Panini,Lil Nas X,panini lil nas x,Panini,Lil Nas X,7,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/f9/9f/51/f99f512d-1afb-810e-715b-ef8c3878aadf/mzaf_3749017260266760309.plus.aac.p.m4a,2019-06-20T07:00:00Z,114893.0,114.893,Pop,7,1468166328.0,1400730578.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Panini,Lil Nas X,1468166328.0,preview_clips/lil_nas_x__panini__1468166328.0.m4a,downloaded
2424,Paparazzi,Lady Gaga,paparazzi lady gaga,Paparazzi,Lady Gaga,Kids Birthday Party,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/28/d7/0d/28d70d48-3b51-6db7-2fbf-3be964e17004/mzaf_16258227160172363729.plus.aac.p.m4a,2008-08-19T12:00:00Z,208173.0,208.173,Pop,Kids Birthday Party,1691418026.0,277293880.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Paparazzi,Lady Gaga,1691418026.0,preview_clips/lady_gaga__paparazzi__1691418026.0.m4a,downloaded
2425,Paper Planes,M.I.A.,paper planes m i a,Paper Planes,M.I.A.,Kala,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/18/c1/28/18c128c5-55a2-8cce-1485-7e4c9c0819e5/mzaf_14329776023466908430.plus.aac.p.m4a,2007-08-08T07:00:00Z,205200.0,205.2,Electronic,Kala,296393515.0,14677454.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Paper Planes,M.I.A.,296393515.0,preview_clips/m_i_a__paper_planes__296393515.0.m4a,downloaded
2426,Papers,Usher,papers usher,Papers,USHER,Raymond v Raymond (Expanded Edition),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/17/60/5a/17605a14-57bd-8c9b-2370-04aba5a7aa63/mzaf_3380617186666204559.plus.aac.p.m4a,2009-10-16T12:00:00Z,261413.0,261.413,R&B/Soul,Raymond v Raymond (Expanded Edition),923691596.0,15885.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Papers,Usher,923691596.0,preview_clips/usher__papers__923691596.0.m4a,downloaded
2427,Papi's Home,Drake,papis home drake,Papi’s Home,Drake,Certified Lover Boy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/1f/ca/c8/1fcac85e-f8e1-0c8d-14a5-1da7e06cabfe/mzaf_18095417918269313821.plus.aac.p.m4a,2021-09-03T07:00:00Z,178623.0,178.623,Hip-Hop/Rap,Certified Lover Boy,1584449202.0,271256.0,0.9690476190476192,0.9523809523809524,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Papi's Home,Drake,1584449202.0,preview_clips/drake__papi_s_home__1584449202.0.m4a,downloaded
2428,Parade On Cleveland,Young Thug Featuring Drake,parade on cleveland young thug,Parade on Cleveland (feat. Drake),Young Thug,BUSINESS IS BUSINESS,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/f9/a5/0f/f9a50fad-2a4e-660f-7c81-ee9505827a53/mzaf_13639514706406066680.plus.aac.p.m4a,2023-06-23T07:00:00Z,228267.0,228.267,Hip-Hop/Rap,BUSINESS IS BUSINESS,1693984160.0,81886939.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Parade On Cleveland,Young Thug Featuring Drake,1693984160.0,preview_clips/young_thug_featuring_drake__parade_on_cleveland__1693984160.0.m4a,downloaded
2429,Paradise,Coldplay,paradise coldplay,Paradise,Coldplay,Mylo Xyloto,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/13/1f/f0/131ff0ec-09d2-cc44-043f-698e60713641/mzaf_1497246005369579066.plus.aac.p.m4a,2011-09-12T07:00:00Z,277610.0,277.61,Alternative,Mylo Xyloto,726373148.0,471744.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Paradise,Coldplay,726373148.0,preview_clips/coldplay__paradise__726373148.0.m4a,downloaded
2430,Paralyzer,Finger Eleven,paralyzer finger eleven,Paralyzer,Finger Eleven,2000s emo scene girl,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/15/37/5c/15375c10-fe9d-967c-819f-217db8194fd6/mzaf_7858361529605257051.plus.aac.p.m4a,2007-01-01T12:00:00Z,208107.0,208.107,Rock,2000s emo scene girl,1834485351.0,96318432.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Paralyzer,Finger Eleven,1834485351.0,preview_clips/finger_eleven__paralyzer__1834485351.0.m4a,downloaded
2431,Paranoid,Jonas Brothers,paranoid jonas brothers,Paranoid,Jonas Brothers,The Family Business,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/3f/85/df/3f85df05-2c04-6924-d43d-3a2138923ec0/mzaf_2407218990661242120.plus.aac.p.m4a,2009-05-12T12:00:00Z,218267.0,218.267,Pop,The Family Business,1672144170.0,114342891.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Paranoid,Jonas Brothers,1672144170.0,preview_clips/jonas_brothers__paranoid__1672144170.0.m4a,downloaded
2432,Paranoid,Post Malone,paranoid post malone,Paranoid,Post Malone,beerbongs & bentleys,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/3b/48/26/3b482600-b697-46b5-aa98-10f62fd0107a/mzaf_17499596885051014561.plus.aac.p.m4a,2018-04-27T12:00:00Z,221781.0,221.781,Hip-Hop/Rap,beerbongs & bentleys,1373516907.0,966309175.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Paranoid,Post Malone,1373516907.0,preview_clips/post_malone__paranoid__1373516907.0.m4a,downloaded
2433,Paranoid,Ty Dolla $ign Featuring B.o.B,paranoid ty dolla ign,Paranoid (feat. B.o.B),Ty Dolla $ign,Beach House - EP,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d5/41/c7/d541c775-7b88-3d47-6d63-a0b6d42f4a47/mzaf_8420630832204442639.plus.aac.p.m4a,2013-09-10T12:00:00Z,216527.0,216.527,Hip-Hop/Rap,Beach House - EP,784313927.0,602917745.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Paranoid,Ty Dolla $ign Featuring B.o.B,784313927.0,preview_clips/ty_dolla_ign_featuring_b_o_b__paranoid__784313927.0.m4a,downloaded
2434,Paris,Taylor Swift,paris taylor swift,Paris,Taylor Swift,Midnights (3am Edition),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/96/67/c2/9667c24d-f112-7754-08e8-39c55bc1975f/mzaf_18318093244807695815.plus.aac.p.m4a,2022-10-21T12:00:00Z,196259.0,196.259,Pop,Midnights (3am Edition),1650860038.0,159260351.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Paris,Taylor Swift,1650860038.0,preview_clips/taylor_swift__paris__1650860038.0.m4a,downloaded
2435,Paris,The Chainsmokers,paris the chainsmokers,Paris,The Chainsmokers,Memories...Do Not Open,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/1f/da/a7/1fdaa7c3-9af3-bd5f-9048-406a31e21c1d/mzaf_14744732617925969794.plus.aac.p.m4a,2017-01-13T08:00:00Z,221509.0,221.509,Dance,Memories...Do Not Open,1207120538.0,580391756.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Paris,The Chainsmokers,1207120538.0,preview_clips/the_chainsmokers__paris__1207120538.0.m4a,downloaded
2436,Part Of Me,Katy Perry,part of me katy perry,Part of Me,Katy Perry,Teenage Dream: The Complete Confection,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/0c/a4/32/0ca432eb-fc53-8a08-acdd-55d9dcab98b0/mzaf_4093649230372607608.plus.aac.p.m4a,2012-02-13T08:00:00Z,216160.0,216.16,Pop,Teenage Dream: The Complete Confection,716085475.0,64387566.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Part Of Me,Katy Perry,716085475.0,preview_clips/katy_perry__part_of_me__716085475.0.m4a,downloaded
2437,Partition,Beyonce,partition beyonce,Partition,Beyoncé,BEYONCÉ,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ef/26/30/ef2630d4-b743-3866-41fd-01fd2582f532/mzaf_8185801098877368708.plus.aac.p.m4a,2013-12-13T08:00:00Z,319467.0,319.467,Pop,BEYONCÉ,939781009.0,1419227.0,0.976923076923077,1.0,0.9230769230769232,0.0,AUTO_ACCEPT,SUCCESS,0.0,True,True,,Partition,Beyonce,939781009.0,preview_clips/beyonce__partition__939781009.0.m4a,downloaded
2438,Party,Bad Bunny & Rauw Alejandro,party bad bunny,Party (MarkCutz Remix) [Mixed],Rauw Alejandro & Bad Bunny,Puro Pari! Ep. 1 (DJ Mix),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/48/ea/f4/48eaf4ca-c4d5-71ec-86b2-6d17dc4362df/mzaf_8615003671930893337.plus.aac.p.m4a,2023-03-17T12:00:00Z,185626.0,185.626,Urbano latino,Puro Pari! Ep. 1 (DJ Mix),1676118960.0,1107186883.0,0.6136363636363636,1.0,0.5454545454545454,0.25,LOW_CONFIDENCE,SUCCESS,1.0,False,True,likely_recoverable_manual_rule,Party,Bad Bunny & Rauw Alejandro,1676118960.0,preview_clips/bad_bunny_rauw_alejandro__party__1676118960.0.m4a,downloaded
2439,Party,Chris Brown Featuring Usher & Gucci Mane,party chris brown,Party (feat. Usher & Gucci Mane),Chris Brown,Heartbreak on a Full Moon,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/06/ed/49/06ed49d1-2399-e81b-103d-9b97180d6b07/mzaf_13093559960421112364.plus.aac.p.m4a,2016-12-16T08:00:00Z,221178.0,221.178,R&B/Soul,Heartbreak on a Full Moon,1294797498.0,95705522.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Party,Chris Brown Featuring Usher & Gucci Mane,1294797498.0,preview_clips/chris_brown_featuring_usher_gucci_mane__party__1294797498.0.m4a,downloaded
2440,Party Girl,StaySolidRocky,party girl staysolidrocky,Party Girl 2,StaySolidRocky,Party Girl 2 - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/f1/3a/09/f13a097e-81e9-6227-ab3e-9f18f922b6c4/mzaf_13284808467128745410.plus.aac.p.m4a,2024-11-25T12:00:00Z,146520.0,146.52,Pop,Party Girl 2 - Single,1781591170.0,1502454735.0,0.9409090909090908,0.9090909090909092,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Party Girl,StaySolidRocky,1781591170.0,preview_clips/staysolidrocky__party_girl__1781591170.0.m4a,downloaded
2441,Party In The U.S.A.,Miley Cyrus,party in the u s a miley cyrus,Party In the U.S.A.,Miley Cyrus,Party In the U.S.A. - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/76/9e/79/769e79f5-3fbe-a416-4109-e57acaf7ebb7/mzaf_1472369971298162165.plus.aac.p.m4a,2009-08-11T07:00:00Z,202760.0,202.76,Pop,Party In the U.S.A. - Single,1445007713.0,137057909.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Party In The U.S.A.,Miley Cyrus,1445007713.0,preview_clips/miley_cyrus__party_in_the_u_s_a__1445007713.0.m4a,downloaded
2442,Party Like A Rockstar,Shop Boyz,party like a rockstar shop boyz,Party Like a Rockstar,Shop Boyz,"Street Swag, Vol. 2",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a6/54/98/a65498df-6cad-b01d-3fa9-a7ceb8a96a53/mzaf_13721931953541078897.plus.aac.p.m4a,2007-01-01T12:00:00Z,253466.0,253.466,Dirty South,"Street Swag, Vol. 2",1098056692.0,253276376.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Party Like A Rockstar,Shop Boyz,1098056692.0,preview_clips/shop_boyz__party_like_a_rockstar__1098056692.0.m4a,downloaded
2443,Party Monster,The Weeknd,party monster the weeknd,Party Monster,The Weeknd,Starboy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/5f/71/7e/5f717eb9-c108-9ce4-f04c-1296e9df07a3/mzaf_1303083752372375662.plus.aac.p.m4a,2016-11-18T12:00:00Z,249208.0,249.208,R&B/Soul,Starboy,1440870376.0,479756766.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Party Monster,The Weeknd,1440870376.0,preview_clips/the_weeknd__party_monster__1440870376.0.m4a,downloaded
2444,Party People,Nelly Featuring Fergie,party people nelly,Party People (feat. Fergie),Nelly,The Dutchess (Deluxe Edition),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/f0/71/a0/f071a099-0721-cf1c-58dc-2c4421e8218e/mzaf_7111751122575093121.plus.aac.p.m4a,2006-09-13T12:00:00Z,243213.0,243.213,Hip-Hop/Rap,The Dutchess (Deluxe Edition),1618122851.0,351794.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Party People,Nelly Featuring Fergie,1618122851.0,preview_clips/nelly_featuring_fergie__party_people__1618122851.0.m4a,downloaded
2445,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,party rock anthem lmfao,Party Rock Anthem (feat. Lauren Bennett & GoonRock),LMFAO,Sorry for Party Rocking,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/32/da/85/32da8549-f8b9-b04e-a36c-8d8db24080ad/mzaf_15138147331863800823.plus.aac.p.m4a,2011-01-25T12:00:00Z,262147.0,262.147,Pop,Sorry for Party Rocking,1443124961.0,284482668.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,1443124961.0,preview_clips/lmfao_featuring_lauren_bennett_goonrock__party_rock_anthem__1443124961.0.m4a,downloaded
2446,Party Up (Up In Here),DMX,party up dmx,Party Up (Up in Here) [Mixed],DMX,Lost Kings at EDC Las Vegas 2021: Kinetic Field Stage (DJ Mix),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/8c/96/56/8c9656d3-ee25-4dbf-3943-1612a21c629d/mzaf_16453407883375278761.plus.aac.p.m4a,2021-10-24T12:00:00Z,52858.0,52.858,Dance,Lost Kings at EDC Las Vegas 2021: Kinetic Field Stage (DJ Mix),1594719552.0,135710.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Party Up (Up In Here),DMX,1594719552.0,preview_clips/dmx__party_up_up_in_here__1594719552.0.m4a,downloaded
2447,Passionfruit,Drake,passionfruit drake,Passionfruit,Drake,More Life,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/ae/54/9e/ae549e51-2ea1-0eb4-9963-f8ca6977af59/mzaf_3526477251118968088.plus.aac.p.m4a,2017-03-18T12:00:00Z,298941.0,298.941,Hip-Hop/Rap,More Life,1440892167.0,271256.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Passionfruit,Drake,1440892167.0,preview_clips/drake__passionfruit__1440892167.0.m4a,downloaded
2448,Payphone,Maroon 5 Featuring Wiz Khalifa,payphone maroon 5,Payphone,Maroon 5,Sing Along Bangers,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/8c/61/9c/8c619cdf-cba1-03b8-8e50-4a6860de1fb7/mzaf_16005237765313665477.plus.aac.p.m4a,2012-04-16T07:00:00Z,222707.0,222.707,Pop,Sing Along Bangers,1570612189.0,1798556.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Payphone,Maroon 5 Featuring Wiz Khalifa,1570612189.0,preview_clips/maroon_5_featuring_wiz_khalifa__payphone__1570612189.0.m4a,downloaded
2449,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,peaches justin bieber,Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber,Justice,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/c9/6d/b1/c96db138-df15-d3d1-ef9d-98ef9d350960/mzaf_9411021956242812289.plus.aac.p.m4a,2021-03-19T12:00:00Z,198082.0,198.082,Pop,Justice,1556170101.0,320569549.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,1556170101.0,preview_clips/justin_bieber_featuring_daniel_caesar_giveon__peaches__1556170101.0.m4a,downloaded
2450,Peaches & Eggplants,Young Nudy Featuring 21 Savage,peaches eggplants young nudy,Peaches & Eggplants (feat. 21 Savage),Young Nudy,Gumbo,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/77/ef/f5/77eff57c-71fb-3af1-041b-bee777427f47/mzaf_12775291464754434022.plus.aac.p.m4a,2023-03-06T12:00:00Z,203813.0,203.813,Rap,Gumbo,1674929677.0,898005271.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Peaches & Eggplants,Young Nudy Featuring 21 Savage,1674929677.0,preview_clips/young_nudy_featuring_21_savage__peaches_eggplants__1674929677.0.m4a,downloaded
2451,Peak,Drake,peak drake,Peak,Drake,Scorpion,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/51/04/bb/5104bb3f-f8b9-92c5-5caa-33c53cc8a31e/mzaf_1018047081762769606.plus.aac.p.m4a,2018-06-29T12:00:00Z,206027.0,206.027,Hip-Hop/Rap,Scorpion,1406109893.0,271256.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Peak,Drake,1406109893.0,preview_clips/drake__peak__1406109893.0.m4a,downloaded
2452,Peekaboo,Kendrick Lamar Featuring AzChike,peekaboo kendrick lamar,peekaboo (feat. AZ Chike),Kendrick Lamar,GNX,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/43/9d/e5/439de547-4d51-bf5f-6763-8dc3e0b12d8f/mzaf_13125897401178674573.plus.aac.p.m4a,2024-11-21T12:00:00Z,155917.0,155.917,Hip-Hop/Rap,GNX,1781316956.0,368183298.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,Peekaboo,Kendrick Lamar Featuring AzChike,1781316956.0,preview_clips/kendrick_lamar_featuring_azchike__peekaboo__1781316956.0.m4a,downloaded
